area,target_height,tolerance,x1,y1,x2,y2,x3,y3,x4,y4
C1,1.5,0.5,821801.155,9311727.919,821819.353,9311719.622,821827.649,9311737.820,821809.451,9311746.117
C2,1.5,0.5,821819.353,9311719.622,821837.551,9311711.326,821845.848,9311729.524,821827.649,9311737.820
C3,1.5,0.5,821837.551,9311711.326,821855.749,9311703.029,821864.046,9311721.227,821845.848,9311729.524
C4,1.5,0.5,821855.749,9311703.029,821873.947,9311694.733,821882.244,9311712.931,821864.046,9311721.227
C5,1.5,0.5,821873.947,9311694.733,821892.145,9311686.436,821900.442,9311704.634,821882.244,9311712.931
C6,1.5,0.5,821892.145,9311686.436,821910.343,9311678.140,821918.640,9311696.338,821900.442,9311704.634
C7,1.5,0.5,821910.343,9311678.140,821928.541,9311669.843,821936.838,9311688.041,821918.640,9311696.338
C8,1.5,0.5,821928.541,9311669.843,821946.739,9311661.547,821955.036,9311679.745,821936.838,9311688.041
C9,1.5,0.5,821946.739,9311661.547,821964.937,9311653.250,821973.234,9311671.448,821955.036,9311679.745
C10,1.5,0.5,821964.937,9311653.250,821983.135,9311644.954,821991.432,9311663.152,821973.234,9311671.448
C11,1.5,0.5,821983.135,9311644.954,822001.333,9311636.657,822009.630,9311654.855,821991.432,9311663.152
C12,1.5,0.5,822001.333,9311636.657,822019.531,9311628.361,822027.828,9311646.559,822009.630,9311654.855
C13,1.5,0.5,822019.531,9311628.361,822037.729,9311620.064,822046.026,9311638.262,822027.828,9311646.559
C14,1.5,0.5,822037.729,9311620.064,822055.927,9311611.768,822064.224,9311629.966,822046.026,9311638.262
C15,1.5,0.5,822055.927,9311611.768,822074.125,9311603.471,822082.422,9311621.669,822064.224,9311629.966
C16,1.5,0.5,822074.125,9311603.471,822092.323,9311595.175,822100.620,9311613.373,822082.422,9311621.669
C17,1.5,0.5,822092.323,9311595.175,822110.521,9311586.878,822118.818,9311605.076,822100.620,9311613.373
C18,1.5,0.5,822110.521,9311586.878,822128.719,9311578.582,822137.016,9311596.780,822118.818,9311605.076
C19,1.5,0.5,822128.719,9311578.582,822146.917,9311570.285,822155.214,9311588.483,822137.016,9311596.780
C20,1.5,0.5,822146.917,9311570.285,822165.115,9311561.989,822173.412,9311580.187,822155.214,9311588.483
C21,1.5,0.5,822165.115,9311561.989,822183.313,9311553.692,822191.610,9311571.890,822173.412,9311580.187
C22,1.5,0.5,822183.313,9311553.692,822201.511,9311545.396,822209.808,9311563.594,822191.610,9311571.890
C23,1.5,0.5,822201.511,9311545.396,822219.709,9311537.099,822228.006,9311555.297,822209.808,9311563.594
C24,1.5,0.5,822219.709,9311537.099,822237.907,9311528.802,822246.204,9311547.001,822228.006,9311555.297
C25,1.5,0.5,822237.907,9311528.802,822256.105,9311520.506,822264.402,9311538.704,822246.204,9311547.001
D1,1.5,0.5,821809.451,9311746.117,821827.649,9311737.820,821835.946,9311756.018,821817.748,9311764.315
D2,1.5,0.5,821827.649,9311737.820,821845.848,9311729.524,821854.144,9311747.722,821835.946,9311756.018
D3,1.5,0.5,821845.848,9311729.524,821864.046,9311721.227,821872.342,9311739.425,821854.144,9311747.722
D4,1.5,0.5,821864.046,9311721.227,821882.244,9311712.931,821890.540,9311731.129,821872.342,9311739.425
D5,1.5,0.5,821882.244,9311712.931,821900.442,9311704.634,821908.738,9311722.832,821890.540,9311731.129
D6,1.5,0.5,821900.442,9311704.634,821918.640,9311696.338,821926.936,9311714.536,821908.738,9311722.832
D7,1.5,0.5,821918.640,9311696.338,821936.838,9311688.041,821945.134,9311706.239,821926.936,9311714.536
D8,1.5,0.5,821936.838,9311688.041,821955.036,9311679.745,821963.332,9311697.943,821945.134,9311706.239
D9,1.5,0.5,821955.036,9311679.745,821973.234,9311671.448,821981.530,9311689.646,821963.332,9311697.943
D10,1.5,0.5,821973.234,9311671.448,821991.432,9311663.152,821999.728,9311681.350,821981.530,9311689.646
D11,1.5,0.5,821991.432,9311663.152,822009.630,9311654.855,822017.926,9311673.053,821999.728,9311681.350
D12,1.5,0.5,822009.630,9311654.855,822027.828,9311646.559,822036.124,9311664.757,822017.926,9311673.053
D13,1.5,0.5,822027.828,9311646.559,822046.026,9311638.262,822054.322,9311656.460,822036.124,9311664.757
D14,1.5,0.5,822046.026,9311638.262,822064.224,9311629.966,822072.520,9311648.164,822054.322,9311656.460
D15,1.5,0.5,822064.224,9311629.966,822082.422,9311621.669,822090.718,9311639.867,822072.520,9311648.164
D16,1.5,0.5,822082.422,9311621.669,822100.620,9311613.373,822108.916,9311631.571,822090.718,9311639.867
D17,1.5,0.5,822100.620,9311613.373,822118.818,9311605.076,822127.114,9311623.274,822108.916,9311631.571
D18,1.5,0.5,822118.818,9311605.076,822137.016,9311596.780,822145.312,9311614.978,822127.114,9311623.274
D19,1.5,0.5,822137.016,9311596.780,822155.214,9311588.483,822163.510,9311606.681,822145.312,9311614.978
D20,1.5,0.5,822155.214,9311588.483,822173.412,9311580.187,822181.708,9311598.385,822163.510,9311606.681
D21,1.5,0.5,822173.412,9311580.187,822191.610,9311571.890,822199.906,9311590.088,822181.708,9311598.385
D22,1.5,0.5,822191.610,9311571.890,822209.808,9311563.594,822218.104,9311581.792,822199.906,9311590.088
D23,1.5,0.5,822209.808,9311563.594,822228.006,9311555.297,822236.302,9311573.495,822218.104,9311581.792
D24,1.5,0.5,822228.006,9311555.297,822246.204,9311547.001,822254.500,9311565.199,822236.302,9311573.495
D25,1.5,0.5,822246.204,9311547.001,822264.402,9311538.704,822272.698,9311556.902,822254.500,9311565.199
